,DEPT,TVD,Incl,Azim Grid,Azim True,VSEC,AHD,NS,EW,DLS,Northing,Easting,Well
62,531.2664,529.9006,10.72117647,216.1541176,217.9741176,17.44823529,21.52294118,-26.74588235,-9.836470588,1.13,5157514.198,691809.5671,Hebron 9301
63,531.4188,530.0503,10.72739496,216.1501681,217.9701681,17.47176471,21.55420168,-26.7712605,-9.854957983,1.13,5157514.172,691809.5487,Hebron 9301
64,531.5712,530.2,10.73361345,216.1462185,217.9662185,17.49529412,21.58546218,-26.79663866,-9.873445378,1.13,5157514.147,691809.5303,Hebron 9301
65,531.7236,530.3497,10.73983193,216.1422689,217.9622689,17.51882353,21.61672269,-26.82201681,-9.891932773,1.13,5157514.122,691809.5118,Hebron 9301
66,531.876,530.4995,10.74605042,216.1383193,217.9583193,17.54235294,21.64798319,-26.84739496,-9.910420168,1.13,5157514.096,691809.4934,Hebron 9301
67,532.0284,530.6492,10.75226891,216.1343697,217.9543697,17.56588235,21.6792437,-26.87277311,-9.928907563,1.13,5157514.071,691809.475,Hebron 9301
68,532.1808,530.7989,10.75848739,216.1304202,217.9504202,17.58941176,21.7105042,-26.89815126,-9.947394958,1.13,5157514.046,691809.4566,Hebron 9301
69,532.3332,530.9486,10.76470588,216.1264706,217.9464706,17.61294118,21.74176471,-26.92352941,-9.965882353,1.13,5157514.021,691809.4382,Hebron 9301
70,532.4856,531.0983,10.77092437,216.122521,217.942521,17.63647059,21.77302521,-26.94890756,-9.984369748,1.13,5157513.995,691809.4198,Hebron 9301
71,532.638,531.2481,10.77714286,216.1185714,217.9385714,17.66,21.80428571,-26.97428571,-10.00285714,1.13,5157513.97,691809.4014,Hebron 9301
72,532.7904,531.3978,10.78336134,216.1146218,217.9346218,17.68352941,21.83554622,-26.99966387,-10.02134454,1.13,5157513.945,691809.383,Hebron 9301
73,532.9428,531.5475,10.78957983,216.1106723,217.9306723,17.70705882,21.86680672,-27.02504202,-10.03983193,1.13,5157513.919,691809.3646,Hebron 9301
74,533.0952,531.6972,10.79579832,216.1067227,217.9267227,17.73058824,21.89806723,-27.05042017,-10.05831933,1.13,5157513.894,691809.3462,Hebron 9301
75,533.2476,531.8469,10.80201681,216.1027731,217.9227731,17.75411765,21.92932773,-27.07579832,-10.07680672,1.13,5157513.869,691809.3278,Hebron 9301
76,533.4,531.9966,10.80823529,216.0988235,217.9188235,17.77764706,21.96058824,-27.10117647,-10.09529412,1.13,5157513.844,691809.3094,Hebron 9301
77,533.5524,532.1463,10.81445378,216.0948739,217.9148739,17.80117647,21.99184874,-27.12655462,-10.11378151,1.13,5157513.818,691809.291,Hebron 9301
78,533.7048,532.296,10.82067227,216.0909244,217.9109244,17.82470588,22.02310924,-27.15193277,-10.13226891,1.13,5157513.793,691809.2726,Hebron 9301
79,533.8572,532.4456,10.82689076,216.0869748,217.9069748,17.84823529,22.05436975,-27.17731092,-10.1507563,1.13,5157513.768,691809.2542,Hebron 9301
80,534.0096,532.5953,10.83310924,216.0830252,217.9030252,17.87176471,22.08563025,-27.20268908,-10.1692437,1.13,5157513.742,691809.2358,Hebron 9301
81,534.162,532.745,10.83932773,216.0790756,217.8990756,17.89529412,22.11689076,-27.22806723,-10.18773109,1.13,5157513.717,691809.2174,Hebron 9301
82,534.3144,532.8947,10.84554622,216.0751261,217.8951261,17.91882353,22.14815126,-27.25344538,-10.20621849,1.13,5157513.692,691809.199,Hebron 9301
83,534.4668,533.0444,10.85176471,216.0711765,217.8911765,17.94235294,22.17941176,-27.27882353,-10.22470588,1.13,5157513.666,691809.1806,Hebron 9301
84,534.7716,533.3437,10.85798319,216.0672269,217.8872269,17.96588235,22.21067227,-27.30420168,-10.24319328,1.13,5157513.641,691809.1622,Hebron 9301
85,534.924,533.4934,10.86420168,216.0632773,217.8832773,17.98941176,22.24193277,-27.32957983,-10.26168067,1.13,5157513.616,691809.1438,Hebron 9301
86,535.0764,533.6431,10.87042017,216.0593277,217.8793277,18.01294118,22.27319328,-27.35495798,-10.28016807,1.13,5157513.591,691809.1254,Hebron 9301
87,535.2288,533.7927,10.87663866,216.0553782,217.8753782,18.03647059,22.30445378,-27.38033613,-10.29865546,1.13,5157513.565,691809.107,Hebron 9301
88,535.3812,533.9424,10.88285714,216.0514286,217.8714286,18.06,22.33571429,-27.40571429,-10.31714286,1.13,5157513.54,691809.0886,Hebron 9301
89,535.5336,534.092,10.88907563,216.047479,217.867479,18.08352941,22.36697479,-27.43109244,-10.33563025,1.13,5157513.515,691809.0702,Hebron 9301
90,535.686,534.2417,10.89529412,216.0435294,217.8635294,18.10705882,22.39823529,-27.45647059,-10.35411765,1.13,5157513.489,691809.0518,Hebron 9301
91,535.8384,534.3913,10.90151261,216.0395798,217.8595798,18.13058824,22.4294958,-27.48184874,-10.37260504,1.13,5157513.464,691809.0334,Hebron 9301
92,535.9908,534.541,10.90773109,216.0356303,217.8556303,18.15411765,22.4607563,-27.50722689,-10.39109244,1.13,5157513.439,691809.015,Hebron 9301
93,536.1432,534.6906,10.91394958,216.0316807,217.8516807,18.17764706,22.49201681,-27.53260504,-10.40957983,1.13,5157513.414,691808.9966,Hebron 9301
94,536.2956,534.8403,10.92016807,216.0277311,217.8477311,18.20117647,22.52327731,-27.55798319,-10.42806723,1.13,5157513.388,691808.9782,Hebron 9301
95,536.448,534.9899,10.92638655,216.0237815,217.8437815,18.22470588,22.55453782,-27.58336134,-10.44655462,1.13,5157513.363,691808.9597,Hebron 9301
96,536.6004,535.1396,10.93260504,216.0198319,217.8398319,18.24823529,22.58579832,-27.6087395,-10.46504202,1.13,5157513.338,691808.9413,Hebron 9301
97,536.9052,535.4388,10.93882353,216.0158824,217.8358824,18.27176471,22.61705882,-27.63411765,-10.48352941,1.13,5157513.312,691808.9229,Hebron 9301
98,537.0576,535.5884,10.94504202,216.0119328,217.8319328,18.29529412,22.64831933,-27.6594958,-10.50201681,1.13,5157513.287,691808.9045,Hebron 9301
99,537.21,535.7381,10.9512605,216.0079832,217.8279832,18.31882353,22.67957983,-27.68487395,-10.5205042,1.13,5157513.262,691808.8861,Hebron 9301
